Date,Open,High,Low,Close,Volume
08/14/2026,"264.88","265.81","262.42","262.65","27,251,660"
08/13/2026,"267.24","269.58","264.71","265.13","32,170,150"
08/12/2026,"273.18","273.46","267.10","267.28","29,941,090"
08/11/2026,"278.69","278.84","271.36","272.27","31,895,711"
08/10/2026,"274.01","280.14","273.60","278.09","35,731,910"
08/07/2026,"272.87","278.31","272.75","274.48","33,861,441"
08/06/2026,"272.77","275.48","271.06","272.26","30,672,900"
08/05/2026,"281.59","282.79","270.73","272.65","45,119,801"
08/04/2026,"276.06","281.07","275.82","277.42","69,748,062"
08/03/2026,"278.29","287.20","278.00","284.02","90,830,227"
07/31/2026,"265.00","273.23","262.01","271.58","129,054,797"
07/30/2026,"233.35","239.82","231.06","235.50","101,839,797"
07/29/2026,"229.32","232.82","226.16","226.65","44,957,520"
07/28/2026,"232.85","233.11","228.10","230.86","44,521,602"
07/27/2026,"235.67","235.89","230.99","231.39","34,999,500"
07/24/2026,"234.38","234.95","231.34","232.11","35,017,359"
07/23/2026,"236.26","238.35","232.05","233.66","47,465,340"
07/22/2026,"248.27","248.45","242.45","244.85","34,112,727"
07/21/2026,"249.11","249.34","246.42","247.55","27,732,061"
07/20/2026,"248.76","252.89","248.00","249.99","32,406,480"
07/17/2026,"244.46","250.24","243.59","247.23","43,572,359"
07/16/2026,"255.12","258.08","248.00","249.89","45,343,711"
07/15/2026,"249.75","256.48","249.75","254.96","45,240,621"
07/14/2026,"245.55","248.56","243.80","247.49","30,108,051"
07/13/2026,"244.68","249.65","244.18","247.31","34,636,090"
07/10/2026,"249.55","251.03","244.41","245.34","31,654,000"
07/09/2026,"239.82","247.50","238.25","247.04","38,091,688"
07/08/2026,"244.27","244.80","240.52","243.62","29,653,039"
07/07/2026,"246.98","248.93","242.70","245.98","40,579,602"
07/06/2026,"243.80","246.04","240.88","244.16","40,044,031"
07/02/2026,"241.61","246.72","241.08","242.67","48,298,141"
07/01/2026,"239.75","244.90","234.90","241.70","53,829,848"
06/30/2026,"237.35","241.54","237.17","238.34","66,228,258"
06/29/2026,"234.22","249.71","233.80","240.14","77,619,234"
06/26/2026,"227.21","233.90","226.13","232.69","248,372,094"
06/25/2026,"232.02","232.32","225.55","227.01","77,858,477"
06/24/2026,"233.85","242.42","232.95","234.27","70,282,578"
06/23/2026,"232.55","236.87","232.00","234.11","60,492,559"
06/22/2026,"240.08","242.00","232.24","232.79","68,388,531"
06/18/2026,"240.12","245.73","236.02","244.39","75,624,414"
06/17/2026,"244.90","245.91","236.00","237.50","44,780,770"
06/16/2026,"248.00","249.51","245.45","246.00","35,187,406"
06/15/2026,"245.02","247.81","244.73","246.02","41,711,578"
06/12/2026,"243.21","243.36","233.59","238.55","51,251,141"
06/11/2026,"237.93","242.14","235.18","241.51","41,335,398"
06/10/2026,"243.61","244.07","237.45","238.00","38,590,238"
06/09/2026,"247.73","250.43","240.40","244.19","44,425,359"
06/08/2026,"246.68","249.42","243.36","245.22","33,899,527"
06/05/2026,"254.26","256.38","245.78","246.03","55,607,840"
06/04/2026,"253.12","255.83","251.75","253.79","35,609,770"
06/03/2026,"254.70","257.09","247.71","250.02","51,394,191"
06/02/2026,"257.16","261.20","254.37","256.52","41,810,980"
06/01/2026,"266.29","266.63","260.70","261.26","53,604,379"
05/29/2026,"271.29","274.75","269.64","270.64","54,749,559"
05/28/2026,"272.27","274.50","267.44","274.00","40,630,391"
05/27/2026,"266.15","272.41","265.70","271.85","40,061,859"
05/26/2026,"267.94","269.30","262.07","265.29","38,028,121"
05/22/2026,"268.66","269.79","266.24","266.32","27,535,529"
05/21/2026,"263.50","269.49","261.37","268.46","36,591,738"
05/20/2026,"260.05","265.58","259.53","265.01","34,933,152"
05/19/2026,"262.04","262.25","255.19","259.34","40,340,699"
05/18/2026,"263.87","268.85","262.53","264.86","33,690,793"
05/15/2026,"262.50","264.36","260.89","264.14","40,770,340"
05/14/2026,"269.15","270.78","266.63","267.22","31,338,439"
05/13/2026,"264.43","270.72","263.20","270.13","39,670,922"
05/12/2026,"266.71","267.65","262.63","265.82","36,776,219"
05/11/2026,"269.84","273.63","268.48","268.99","38,176,699"
05/08/2026,"271.63","274.00","269.95","272.68","34,732,680"
05/07/2026,"275.02","276.63","270.49","271.17","35,892,879"
05/06/2026,"272.89","277.80","272.21","274.99","44,551,961"
05/05/2026,"276.08","278.56","272.38","273.55","41,908,527"
05/04/2026,"268.80","276.10","268.80","272.05","49,083,727"
05/01/2026,"265.58","273.32","262.74","268.26","50,825,230"
04/30/2026,"273.17","273.88","256.16","265.06","100,974,898"
04/29/2026,"257.99","265.91","257.70","263.04","72,367,914"
04/28/2026,"258.39","261.03","256.63","259.70","42,204,449"
04/27/2026,"263.46","264.15","260.34","261.12","44,906,840"
04/24/2026,"259.98","264.50","257.69","263.99","53,777,352"
04/23/2026,"255.39","258.79","253.07","255.08","39,091,391"
04/22/2026,"252.44","255.94","250.33","255.36","36,065,070"
04/21/2026,"255.09","255.09","249.10","249.91","42,922,398"
04/20/2026,"249.19","250.18","245.37","248.28","39,463,113"
04/17/2026,"254.99","256.18","250.11","250.56","52,029,289"
04/16/2026,"248.51","250.00","244.20","249.70","41,895,711"
04/15/2026,"249.25","250.44","247.20","248.50","43,045,160"
04/14/2026,"241.78","252.18","241.78","249.02","72,685,031"
04/13/2026,"237.45","240.00","235.75","239.89","42,166,152"
04/10/2026,"235.30","240.43","235.21","238.38","56,912,840"
04/09/2026,"225.23","233.80","223.27","233.65","65,964,172"
04/08/2026,"223.79","226.10","219.62","221.25","51,092,699"
04/07/2026,"211.24","213.97","209.08","213.77","28,154,561"
04/06/2026,"209.80","212.95","209.59","212.79","25,385,500"
04/02/2026,"206.54","212.21","204.90","209.77","31,453,039"
04/01/2026,"210.44","213.58","208.19","210.57","45,955,398"
03/31/2026,"204.85","210.28","204.14","208.27","58,470,078"
03/30/2026,"201.48","203.80","199.98","200.95","46,373,801"
03/27/2026,"206.46","206.60","199.14","199.34","56,009,762"
03/26/2026,"210.61","212.89","207.12","207.54","46,745,980"
03/25/2026,"211.56","213.07","209.90","211.71","36,388,793"
03/24/2026,"207.95","209.35","206.64","207.24","35,351,434"
03/23/2026,"209.79","212.80","209.51","210.14","44,277,359"
03/20/2026,"207.40","207.54","204.32","205.37","63,694,602"
03/19/2026,"207.06","209.12","206.05","208.76","36,440,621"
03/18/2026,"213.93","215.14","208.83","209.87","37,846,641"
03/17/2026,"212.82","215.70","212.43","215.20","44,969,941"
03/16/2026,"208.35","212.72","207.45","211.74","42,209,320"
03/13/2026,"209.61","210.56","206.22","207.67","35,662,141"
03/12/2026,"210.39","211.71","208.15","209.53","44,349,500"
03/11/2026,"215.71","217.00","211.35","212.65","34,199,301"
03/10/2026,"214.19","215.65","212.43","214.33","35,678,832"
03/09/2026,"210.45","213.82","207.11","213.49","54,642,930"
03/06/2026,"214.99","217.32","212.53","213.21","51,152,719"
03/05/2026,"215.98","220.47","215.59","218.94","60,943,449"
03/04/2026,"210.47","217.54","210.15","216.82","54,731,102"
03/03/2026,"203.10","209.18","202.48","208.73","43,184,922"
03/02/2026,"204.55","209.73","203.46","208.39","46,001,008"
02/27/2026,"206.83","210.33","205.20","210.00","57,422,781"
02/26/2026,"210.73","211.05","205.35","207.92","47,756,770"
02/25/2026,"210.46","211.59","208.93","210.64","41,346,379"
02/24/2026,"205.47","210.36","203.25","208.56","41,137,160"
02/23/2026,"208.10","208.43","203.11","205.27","53,581,512"
02/20/2026,"204.76","211.17","203.75","210.11","65,881,609"
02/19/2026,"203.80","205.64","202.81","204.86","35,669,609"
02/18/2026,"202.07","206.86","201.51","204.79","51,003,301"
02/17/2026,"198.13","201.74","196.00","201.15","69,879,203"
02/13/2026,"198.88","201.16","197.28","198.79","66,321,594"
02/12/2026,"203.96","203.96","197.56","199.60","83,975,391"
02/11/2026,"208.06","208.57","202.49","204.08","65,545,461"
02/10/2026,"208.80","212.65","206.41","206.96","67,175,031"
02/09/2026,"208.97","212.81","203.35","208.72","91,178,438"
02/06/2026,"202.70","211.44","200.31","210.32","179,210,891"
02/05/2026,"224.91","226.31","220.38","222.69","103,509,203"
02/04/2026,"238.86","238.86","231.82","232.99","51,299,953"
02/03/2026,"244.98","246.35","235.45","238.62","53,831,301"
02/02/2026,"238.31","245.63","238.17","242.96","37,546,102"
01/30/2026,"239.89","243.32","237.64","239.30","46,585,020"
01/29/2026,"242.82","243.00","236.74","241.73","47,229,641"
01/28/2026,"246.37","247.78","241.53","243.01","40,882,660"
01/27/2026,"239.69","244.88","238.08","244.68","38,029,219"
01/26/2026,"239.98","240.95","237.54","238.42","32,825,531"
01/23/2026,"234.96","240.45","234.57","239.16","33,778,480"
01/22/2026,"234.05","235.72","230.90","234.34","31,913,330"
01/21/2026,"231.09","232.30","226.88","231.31","47,276,090"
01/20/2026,"233.76","235.09","229.34","231.00","47,737,848"
01/16/2026,"239.09","239.57","236.41","239.12","45,888,281"
01/15/2026,"239.31","240.65","236.63","238.18","43,003,566"
01/14/2026,"241.15","241.28","236.22","236.65","41,410,578"
