date,open,high,low,close,volume
2021-05-03,54.27,54.795,54.16,54.48,10417920
2021-05-04,54.57,54.62,53.94,54.14,14151240
2021-05-05,54.14,54.24,53.745,54.0,6505842
2021-05-06,54.12,54.605,54.05,54.54,11572700
2021-05-07,54.44,54.77,54.16,54.51,10637480
2021-05-10,54.88,55.495,54.831,54.91,15545820
2021-05-11,55.03,55.14,54.045,54.32,12986730
2021-05-12,54.36,54.555,53.875,54.04,15836460
2021-05-13,53.97,54.775,53.83,54.51,15476900
2021-05-14,54.9,55.1,54.69,54.73,11725560
2021-05-17,54.84,55.02,54.5,54.64,12115470
2021-05-18,54.39,54.5599,54.1,54.34,13232500
2021-05-19,54.12,54.18,53.61,54.17,15126120
2021-05-20,54.12,54.8,54.12,54.65,10948430
2021-05-21,54.8,55.115,54.22,54.62,16033220
2021-05-24,54.63,54.93,54.49,54.8,10326140
2021-05-25,54.82,54.82,54.345,54.79,11916450
2021-05-26,54.98,55.05,54.59,55.03,16064280
2021-05-27,55.21,55.57,54.775,55.49,59109570
2021-05-28,55.35,55.71,55.2,55.29,17011950
2021-06-01,55.34,55.65,55.095,55.28,13304330
2021-06-02,55.5,55.56,55.26,55.5,11328700
2021-06-03,55.18,55.74,55.1,55.64,17364320
2021-06-04,55.9,56.48,55.78,56.24,18935060
2021-06-07,56.31,56.34,55.81,56.04,14011110
2021-06-08,56.25,56.25,55.545,55.65,10968280
2021-06-09,55.75,55.92,55.48,55.48,9838835
2021-06-10,55.91,56.12,55.76,55.91,12444370
2021-06-11,55.99,56.21,55.655,56.16,11825800
2021-06-14,55.69,55.71,55.2,55.55,9710829
2021-06-15,55.78,55.79,55.19,55.41,11154220
2021-06-16,55.44,55.46,54.64,54.67,15211720
2021-06-17,54.67,55.15,54.645,54.95,10658390
2021-06-18,54.51,54.62,53.72,53.77,31445560
2021-06-21,54.22,54.43,54.0,54.36,14404310
2021-06-22,54.34,54.85,54.255,54.56,13072840
2021-06-23,54.56,54.6,54.11,54.12,12339160
2021-06-24,54.26,54.415,54.0,54.39,11488440
2021-06-25,54.24,54.47,54.01,54.32,18880340
2021-06-28,54.25,54.37,54.0,54.26,10556910
2021-06-29,54.13,54.34,53.72,53.86,12300920
2021-06-30,53.8,54.18,53.75,54.11,14614200
2021-07-01,54.34,54.48,53.855,53.96,13214700
2021-07-02,54.0,54.45,54.0,54.18,10605050
2021-07-06,53.99,54.09,53.55,53.88,15278170
2021-07-07,53.72,54.375,53.72,54.32,14377870
2021-07-08,54.01,54.165,53.735,54.13,11943920
2021-07-09,54.25,54.52,54.18,54.46,10847010
2021-07-12,54.32,54.595,54.27,54.48,15107580
2021-07-13,54.95,55.295,54.75,55.02,15170810
2021-07-14,55.02,56.3499,54.96,56.26,22002680
2021-07-15,56.24,56.47,55.91,56.44,15068180
2021-07-16,56.46,56.68,56.26,56.4,14860540
2021-07-19,56.08,56.35,55.16,55.73,19526980
2021-07-20,55.73,56.3299,55.52,55.83,16257890
2021-07-21,57.33,57.56,56.425,56.55,20918160
2021-07-22,56.62,56.74,56.05,56.47,13402710
2021-07-23,56.59,57.33,56.45,57.01,12143960
2021-07-26,56.89,57.12,56.56,57.06,8681136
2021-07-27,57.11,57.54,56.92,57.26,12794360
2021-07-28,56.99,57.16,56.629,56.74,9857959
2021-07-29,57.07,57.25,56.86,57.05,9599110
2021-07-30,57.15,57.25,56.9,57.03,11727290
2021-08-02,57.2,57.24,56.705,56.88,9777990
2021-08-03,57.0,57.0,56.745,56.92,8825480
2021-08-04,56.75,56.95,56.0101,56.1,11888360
2021-08-05,56.44,56.59,56.29,56.5,9806780
2021-08-06,56.6,56.74,56.44,56.64,10409250
2021-08-09,56.795,56.88,56.4308,56.65,8859893
2021-08-10,56.84,57.17,56.655,56.8,10906920
2021-08-11,56.89,57.18,56.71,56.73,8370669
2021-08-12,56.73,56.98,56.73,56.84,6169450
2021-08-13,56.81,57.3,56.771,57.23,7714175
2021-08-16,57.2,57.49,57.03,57.48,7973528
2021-08-17,57.46,57.555,57.01,57.28,10346450
2021-08-18,57.19,57.23,56.42,56.5,13873730
2021-08-19,56.06,56.98,55.95,56.86,9223662
2021-08-20,56.84,57.0299,56.58,56.64,10543570
2021-08-23,56.67,56.75,56.38,56.44,8912813
2021-08-24,56.64,56.64,55.9,56.01,12067190
2021-08-25,56.06,56.17,55.73,56.07,11270670
2021-08-26,55.95,55.98,55.51,55.54,10331490
2021-08-27,55.66,55.785,55.45,55.65,8844146
2021-08-30,55.69,56.2,55.64,56.18,10034680
2021-08-31,56.16,56.515,56.0,56.31,14185710
2021-09-01,56.38,56.8,56.28,56.69,9519203
2021-09-02,56.77,57.03,56.41,56.77,11654230
2021-09-03,56.46,56.765,56.245,56.73,13220670
2021-09-07,56.6,56.69,55.51,55.67,20037970
2021-09-08,55.61,56.48,55.61,56.42,12040070
2021-09-09,56.18,56.42,55.8,55.86,12545370
2021-09-10,56.01,56.13,55.515,55.61,10573710
2021-09-13,55.74,56.395,55.74,56.07,20274270
2021-09-14,55.92,55.98,55.55,55.69,13918850
2021-09-15,55.68,56.0,55.42,55.88,15745980
2021-09-16,55.72,55.985,54.82,55.35,17430420
2021-09-17,55.02,55.194,54.37,54.44,33383190
2021-09-20,54.11,54.4,53.7273,54.06,27542450
2021-09-21,54.39,54.82,53.94,54.05,16418160
2021-09-22,54.505,54.56,54.0623,54.13,12719720
2021-09-23,54.26,54.6175,54.0,54.04,13836220
2021-09-24,54.0,54.24,53.86,53.89,9682234
2021-09-27,53.85,54.245,53.57,53.61,12429470
2021-09-28,53.46,53.46,52.43,52.64,19926090
2021-09-29,52.64,53.155,52.56,52.96,13941470
2021-09-30,53.17,53.325,52.43,52.47,17674370
2021-10-01,52.78,53.2,52.5707,53.02,16277410
2021-10-04,53.06,53.525,52.4,52.99,18973450
2021-10-05,53.02,53.47,52.93,53.08,17173140
2021-10-06,52.77,53.765,52.51,53.71,21284530
2021-10-07,53.99,54.28,53.81,53.88,13774370
2021-10-08,54.0,54.39,53.895,54.12,13786820
2021-10-11,54.21,54.39,54.01,54.23,12378520
2021-10-12,54.42,54.83,54.22,54.23,19474370
2021-10-13,54.17,54.43,53.79,54.24,12143660
2021-10-14,54.39,54.805,54.31,54.61,13704290
2021-10-15,54.64,54.88,54.285,54.48,17867140
2021-10-18,54.35,54.39,53.86,53.94,15861790
2021-10-19,54.04,54.2,53.77,54.15,11068620
2021-10-20,54.18,54.76,54.11,54.63,12474870
2021-10-21,54.6,54.67,54.21,54.35,14388310
2021-10-22,54.39,54.53,54.07,54.45,12828800
2021-10-25,54.38,54.47,54.015,54.23,11855030
2021-10-26,54.32,54.58,54.2345,54.47,12086750
2021-10-27,55.97,56.08,55.265,55.52,24019830
2021-10-28,55.75,56.11,55.62,56.04,15927960
2021-10-29,55.87,56.465,55.78,56.37,24463740
2021-11-01,56.39,56.4,55.9,56.17,11651090
2021-11-02,56.47,56.5,55.965,56.1,11498860
2021-11-03,56.0,56.33,55.775,56.29,10788280
2021-11-04,56.11,56.63,56.03,56.6,10820200
2021-11-05,56.84,57.16,56.59,56.84,12886660
2021-11-08,56.75,56.89,56.13,56.33,12827970
2021-11-09,56.41,56.52,56.09,56.49,10155820
2021-11-10,56.54,56.92,56.29,56.72,8813611
2021-11-11,56.825,56.88,56.57,56.74,7257681
2021-11-12,56.75,56.985,56.545,56.61,10162510
2021-11-15,56.53,56.68,56.27,56.62,10289190
2021-11-16,56.62,56.94,56.185,56.22,13756460
2021-11-17,56.04,56.05,55.65,55.91,13288680
2021-11-18,55.83,55.93,55.14,55.41,15380380
2021-11-19,55.44,55.485,54.9047,55.13,15813660
2021-11-22,55.1,56.02,55.08,55.47,16906230
2021-11-23,55.66,56.1064,55.5,55.88,13836260
2021-11-24,55.71,55.835,55.03,55.43,12598980
2021-11-26,54.59,54.75,53.58,53.73,14754340
2021-11-29,54.045,54.73,53.93,54.58,22712470
2021-11-30,53.6,53.625,52.44,52.45,30485170
2021-12-01,52.98,53.52,52.28,52.3,18724140
2021-12-02,52.6,53.34,52.505,53.07,17074170
2021-12-03,53.33,53.61,52.98,53.54,21064350
2021-12-06,54.31,55.25,54.14,54.91,26624140
2021-12-07,55.02,55.415,54.85,55.21,23832720
2021-12-08,55.12,55.35,54.36,55.0,18026450
2021-12-09,54.75,55.13,54.585,54.86,13846420
2021-12-10,55.25,56.32,55.07,56.28,23153570
2021-12-13,56.98,57.93,56.955,57.76,31362830
2021-12-14,57.4,58.17,57.4,57.8,24806570
2021-12-15,57.93,58.25,57.65,58.06,24923790
2021-12-16,57.98,58.88,57.9,58.65,24696860
2021-12-17,58.49,58.92,57.7,57.73,51899380
2021-12-20,57.2,57.78,57.0,57.54,20879480
2021-12-21,57.61,57.965,57.53,57.77,15864890
2021-12-22,57.71,58.19,57.49,58.18,12447440
2021-12-23,58.52,58.61,57.94,58.22,11027340
2021-12-27,58.0,58.69,58.0,58.65,9862192
